0.1 0.001 0.0862124400001
1 0.001 0.05886201201802
5 0.001 0.046180035148091
7 0.001 0.043710000569004
10 0.001 0.04084000000002
20 0.001 0.03502910000001
30 0.001 0.032914002000047
0.1 0.01 0.04217162500297
1 0.01 0.022153250239482
5 0.01 0.01722323753488
7 0.01 0.017348871000401
10 0.01 0.01649999999999996
20 0.01 0.0169431000000006
30 0.01 0.01681444300098
0.1 0.1 0.31249899990001
1 0.1 0.04481112648022
5 0.1 0.04344400000001
7 0.1 0.043396999999996
10 0.1 0.0433433
20 0.1 0.043398899996
30 0.1 0.043379999989
