0.1 0.001 1867.1765403004102
1 0.001 348.2543311623191
5 0.001 318.856180035148091
7 0.001 294.2943710000004
10 0.001 262.324084000000002
20 0.001 249.150350291971001
30 0.001 249.41032914000047
0.1 0.01 868.1904217100297
1 0.01 320.2222153250239482
5 0.01 262.561722323753488
7 0.01 256.7917348871000401
10 0.01 256.821644556887566
20 0.01 257.01694319820006
30 0.01 257.41681444300098
0.1 0.1 3389.31249899990001
1 0.1 7608.048111264802209
5 0.1 5700.44402545016448
7 0.1 5699.44339656465621236
10 0.1 5732.0433433334687
20 0.1 5719.0446548733115096
30 0.1 5732.2043379995644989
